name,category,website,rating,location
A Light in the Attic,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Three,Regno Unito
Tipping the Velvet,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,One,Regno Unito
Soumission,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/soumission_998/index.html,One,Regno Unito
Sharp Objects,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Four,Regno Unito
Sapiens: A Brief History of Humankind,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Five,Regno Unito
The Requiem Red,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,One,Regno Unito
The Dirty Little Secrets of Getting Your Dream Job,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Four,Regno Unito
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Three,Regno Unito
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Four,Regno Unito
The Black Maria,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,One,Regno Unito
"Starving Hearts (Triangular Trade Trilogy, #1)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Two,Regno Unito
Shakespeare's Sonnets,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Four,Regno Unito
Set Me Free,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Five,Regno Unito
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Five,Regno Unito
Rip it Up and Start Again,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Five,Regno Unito
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Three,Regno Unito
Olio,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/olio_984/index.html,One,Regno Unito
Mesaerion: The Best Science Fiction Stories 1800-1849,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,One,Regno Unito
Libertarianism for Beginners,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Two,Regno Unito
It's Only the Himalayas,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Two,Regno Unito
In Her Wake,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,One,Regno Unito
How Music Works,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/how-music-works_979/index.html,Two,Regno Unito
